date,sales
2012-05-17,20120
2012-05-18,20122
2012-05-19,20123
2012-05-20,20120
2012-05-21,20122
2012-05-22,20120
2012-05-23,20123
2012-05-24,20120
2012-05-25,20122
2012-05-26,20122
2012-05-27,20120
2012-05-28,20120
2012-05-29,20121
2012-05-30,20120
2012-05-31,20122
2012-06-01,20121
2012-06-02,20121
2012-06-03,20123
2012-06-04,20123
2012-06-05,20120
2012-06-06,20123
2012-06-07,20123
2012-06-08,20121
2012-06-09,20123
2012-06-10,20122
2012-06-11,20123
2012-06-12,20121
2012-06-13,20120
2012-06-14,20123
2012-06-15,20123
2012-06-16,20123
2012-06-17,20120
2012-06-18,20120
2012-06-19,20121
2012-06-20,20122
2012-06-21,20121
2012-06-22,20120
2012-06-23,20123
2012-06-24,20121
2012-06-25,20121
2012-06-26,20120
2012-06-27,20121
2012-06-28,20120
2012-06-29,20122
2012-06-30,20123
2012-07-01,20122
2012-07-02,20121
2012-07-03,20123
2012-07-04,20122
2012-07-05,20122
2012-07-06,20123
2012-07-07,20123
2012-07-08,20123
2012-07-09,20121
2012-07-10,20123
2012-07-11,20122
2012-07-12,20121
2012-07-13,20122
2012-07-14,20120
2012-07-15,20123
2012-07-16,20122
2012-07-17,20123
2012-07-18,20120
2012-07-19,20122
2012-07-20,20122
2012-07-21,20121
2012-07-22,20122
2012-07-23,20120
2012-07-24,20122
2012-07-25,20122
2012-07-26,20123
2012-07-27,20123
2012-07-28,20121
2012-07-29,20122
2012-07-30,20122
2012-07-31,20120
2012-08-01,20122
2012-08-02,20122
2012-08-03,20122
2012-08-04,20123
2012-08-05,20122
2012-08-06,20123
2012-08-07,20120
2012-08-08,20121
2012-08-09,20123
2012-08-10,20121
2012-08-11,20122
2012-08-12,20120
2012-08-13,20122
2012-08-14,20120
2012-08-15,20120
2012-08-16,20120
2012-08-17,20120
2012-08-18,20122
2012-08-19,20121
2012-08-20,20121
2012-08-21,20121
2012-08-22,20120
2012-08-23,20120
2012-08-24,20122
2012-08-25,20121
2012-08-26,20121
2012-08-27,20120
2012-08-28,20121
2012-08-29,20121
2012-08-30,20120
2012-08-31,20122
2012-09-01,20123
2012-09-02,20122
2012-09-03,20122
2012-09-04,20121
2012-09-05,20121
2012-09-06,20121
2012-09-07,20121
2012-09-08,20122
2012-09-09,20121
2012-09-10,20122
2012-09-11,20123
2012-09-12,20121
2012-09-13,20122
2012-09-14,20122
2012-09-15,20122
2012-09-16,20122
2012-09-17,20121
2012-09-18,20122
2012-09-19,20122
2012-09-20,20121
2012-09-21,20120
2012-09-22,20122
2012-09-23,20123
2012-09-24,20123
2012-09-25,20121
2012-09-26,20121
2012-09-27,20121
2012-09-28,20120
2012-09-29,20122
2012-09-30,20122
2012-10-01,20122
2012-10-02,20123
2012-10-03,20120
2012-10-04,20122
2012-10-05,20122
2012-10-06,20121
2012-10-07,20120
2012-10-08,20121
2012-10-09,20123
2012-10-10,20120
2012-10-11,20121
2012-10-12,20121
2012-10-13,20122
2012-10-14,20122
2012-10-15,20121
2012-10-16,20120
2012-10-17,20121
2012-10-18,20120
2012-10-19,20121
2012-10-20,20120
2012-10-21,20122
2012-10-22,20123
2012-10-23,20123
2012-10-24,20123
2012-10-25,20123
2012-10-26,20121
2012-10-27,20123
2012-10-28,20120
2012-10-29,20122
2012-10-30,20120
2012-10-31,20120
2012-11-01,20120
2012-11-02,20120
2012-11-03,20122
2012-11-04,20120
2012-11-05,20120
2012-11-06,20123
2012-11-07,20120
2012-11-08,20122
2012-11-09,20123
2012-11-10,20123
2012-11-11,20122
2012-11-12,20120
2012-11-13,20123
2012-11-14,20121
2012-11-15,20121
2012-11-16,20121
2012-11-17,20120
2012-11-18,20122
2012-11-19,20121
2012-11-20,20120
2012-11-21,20123
2012-11-22,20122
2012-11-23,20121
2012-11-24,20122
2012-11-25,20122
2012-11-26,20120
2012-11-27,20123
2012-11-28,20120
2012-11-29,20120
2012-11-30,20122
2012-12-01,20122
2012-12-02,20122
2012-12-03,20120
2012-12-04,20122
2012-12-05,20122
2012-12-06,20120
2012-12-07,20123
2012-12-08,20121
2012-12-09,20121
2012-12-10,20120
2012-12-11,20120
2012-12-12,20123
2012-12-13,20122
2012-12-14,20120
2012-12-15,20123
2012-12-16,20120
2012-12-17,20123
2012-12-18,20122
2012-12-19,20120
2012-12-20,20123
2012-12-21,20121
2012-12-22,20123
2012-12-23,20123
2012-12-24,20121
2012-12-25,20122
2012-12-26,20122
2012-12-27,20120
2012-12-28,20120
2012-12-29,20123
2012-12-30,20122
2012-12-31,20120
2013-01-01,20133
2013-01-02,20132
2013-01-03,20133
2013-01-04,20132
2013-01-05,20130
2013-01-06,20133
2013-01-07,20131
2013-01-08,20132
2013-01-09,20133
2013-01-10,20133
2013-01-11,20130
2013-01-12,20132
2013-01-13,20131
2013-01-14,20133
2013-01-15,20132
2013-01-16,20131
2013-01-17,20130
2013-01-18,20133
2013-01-19,20132
2013-01-20,20130
2013-01-21,20132
2013-01-22,20131
2013-01-23,20132
2013-01-24,20130
2013-01-25,20131
2013-01-26,20130
2013-01-27,20130
2013-01-28,20132
2013-01-29,20130
2013-01-30,20131
2013-01-31,20131
2013-02-01,20131
2013-02-02,20130
2013-02-03,20131
2013-02-04,20132
2013-02-05,20130
2013-02-06,20131
2013-02-07,20130
2013-02-08,20131
2013-02-09,20132
2013-02-10,20131
2013-02-11,20133
2013-02-12,20133
2013-02-13,20133
2013-02-14,20130
2013-02-15,20133
2013-02-16,20132
2013-02-17,20132
2013-02-18,20133
2013-02-19,20131
2013-02-20,20132
2013-02-21,20132
2013-02-22,20130
