date,sales
2012-05-17,19932.18478359009
2012-05-18,19943.530571478343
2012-05-19,20030.71934088897
2012-05-20,19913.74763095257
2012-05-21,19956.873333791034
2012-05-22,19829.439701963962
2012-05-23,19890.611628210645
2012-05-24,19791.685881111243
2012-05-25,19919.706740023765
2012-05-26,20083.88570307967
2012-05-27,19948.423912809732
2012-05-28,19818.721356006423
2012-05-29,19950.894488082115
2012-05-30,20091.483233941104
2012-05-31,20010.888624241783
2012-06-01,19868.612275132764
2012-06-02,19982.17153260349
2012-06-03,19998.726195020932
2012-06-04,20017.131733282367
2012-06-05,19877.863883357317
2012-06-06,20029.085603370102
2012-06-07,20229.25722777086
2012-06-08,20388.197433388752
2012-06-09,20274.56505174116
2012-06-10,20453.527846334866
2012-06-11,20333.055140384724
2012-06-12,20274.71290521239
2012-06-13,20470.01524631918
2012-06-14,20572.990719951635
2012-06-15,20680.049461837534
2012-06-16,20764.903661685297
2012-06-17,20700.911262936777
2012-06-18,20675.383639234486
2012-06-19,20503.676084291066
2012-06-20,20314.707294127093
2012-06-21,20290.05522481093
2012-06-22,20428.286345120498
2012-06-23,20260.172356292318
2012-06-24,20347.568339314053
2012-06-25,20468.651165967658
2012-06-26,20283.598089980627
2012-06-27,20417.030388755433
2012-06-28,20523.860754692967
2012-06-29,20644.556566912495
2012-06-30,20623.410624518096
2012-07-01,20529.405896876466
2012-07-02,20423.790850767553
2012-07-03,20540.63886771142
2012-07-04,20345.757159060304
2012-07-05,20427.588623831536
2012-07-06,20225.371768753655
2012-07-07,20243.25528164857
2012-07-08,20215.93494840976
2012-07-09,20241.60038403748
2012-07-10,20166.46773911448
2012-07-11,20212.44857445457
2012-07-12,20045.147420797814
2012-07-13,20135.19236652153
2012-07-14,20122.484980562924
2012-07-15,20294.4736871636
2012-07-16,20460.38556976419
2012-07-17,20630.86911267816
2012-07-18,20488.10740253149
2012-07-19,20642.40742781852
2012-07-20,20711.916688629975
2012-07-21,20591.894163709923
2012-07-22,20721.165920176394
2012-07-23,20582.335413954384
2012-07-24,20715.718112606148
2012-07-25,20801.8604329758
2012-07-26,20795.64822500481
2012-07-27,20978.119470875292
2012-07-28,21016.25657262756
2012-07-29,20961.812242825472
2012-07-30,21133.471599458808
2012-07-31,21128.622730475578
2012-08-01,21228.857713976846
2012-08-02,21343.333710240324
2012-08-03,21282.097390832685
2012-08-04,21131.30618680582
2012-08-05,21111.95853868381
2012-08-06,21231.61004030371
2012-08-07,21301.696023098313
2012-08-08,21170.218102921284
2012-08-09,20978.306674444724
2012-08-10,20857.303485524597
2012-08-11,20925.428535403717
2012-08-12,20726.456521462736
2012-08-13,20616.146535519652
2012-08-14,20742.95668701844
2012-08-15,20791.81230504332
2012-08-16,20647.30869136957
2012-08-17,20481.257699541744
2012-08-18,20497.69633055125
2012-08-19,20531.78798723901
2012-08-20,20709.103084937604
2012-08-21,20762.716277365238
2012-08-22,20828.114375214107
2012-08-23,20657.957055915474
2012-08-24,20689.04245421965
2012-08-25,20635.106585256202
2012-08-26,20822.340794414114
2012-08-27,20848.19250030436
2012-08-28,20690.30866049004
2012-08-29,20651.122479785732
2012-08-30,20759.937719403333
2012-08-31,20632.7197156921
2012-09-01,20542.888219744997
2012-09-02,20349.506543504718
2012-09-03,20340.557166218667
2012-09-04,20395.480364689993
2012-09-05,20453.939058800057
2012-09-06,20342.594007071773
2012-09-07,20255.397822758216
2012-09-08,20106.545632717676
2012-09-09,19909.806021981818
2012-09-10,20081.68396730325
