inputimagefile,outputimagefile,threshold,thresholdfactor,nearest_neighbour,time
NoisyImage-LINECOUNT-1-SP-0.900-MAXD-2.0.png,result-NoisyImage-LINECOUNT-1-SP-0.900-MAXD-2.0-tfac-0.10.png,0.14,0.1,1.41,49.38
NoisyImage-LINECOUNT-1-SP-0.900-MAXD-2.0.png,result-NoisyImage-LINECOUNT-1-SP-0.900-MAXD-2.0-tfac-0.50.png,0.71,0.5,1.41,47.59
NoisyImage-LINECOUNT-1-SP-0.900-MAXD-2.0.png,result-NoisyImage-LINECOUNT-1-SP-0.900-MAXD-2.0-tfac-1.00.png,1.41,1.0,1.41,48.08
NoisyImage-LINECOUNT-1-SP-0.900-MAXD-3.0.png,result-NoisyImage-LINECOUNT-1-SP-0.900-MAXD-3.0-tfac-0.10.png,0.14,0.1,1.41,43.76
NoisyImage-LINECOUNT-1-SP-0.900-MAXD-3.0.png,result-NoisyImage-LINECOUNT-1-SP-0.900-MAXD-3.0-tfac-0.50.png,0.71,0.5,1.41,44.31
NoisyImage-LINECOUNT-1-SP-0.900-MAXD-3.0.png,result-NoisyImage-LINECOUNT-1-SP-0.900-MAXD-3.0-tfac-1.00.png,1.41,1.0,1.41,44.16
NoisyImage-LINECOUNT-1-SP-0.900-MAXD-5.0.png,result-NoisyImage-LINECOUNT-1-SP-0.900-MAXD-5.0-tfac-0.10.png,0.14,0.1,1.41,42.42
NoisyImage-LINECOUNT-1-SP-0.900-MAXD-5.0.png,result-NoisyImage-LINECOUNT-1-SP-0.900-MAXD-5.0-tfac-0.50.png,0.71,0.5,1.41,42.26
NoisyImage-LINECOUNT-1-SP-0.900-MAXD-5.0.png,result-NoisyImage-LINECOUNT-1-SP-0.900-MAXD-5.0-tfac-1.00.png,1.41,1.0,1.41,43.07
NoisyImage-LINECOUNT-1-SP-0.900-MAXD-7.0.png,result-NoisyImage-LINECOUNT-1-SP-0.900-MAXD-7.0-tfac-0.10.png,0.14,0.1,1.41,42.09
NoisyImage-LINECOUNT-1-SP-0.900-MAXD-7.0.png,result-NoisyImage-LINECOUNT-1-SP-0.900-MAXD-7.0-tfac-0.50.png,0.71,0.5,1.41,41.88
NoisyImage-LINECOUNT-1-SP-0.900-MAXD-7.0.png,result-NoisyImage-LINECOUNT-1-SP-0.900-MAXD-7.0-tfac-1.00.png,1.41,1.0,1.41,41.65
NoisyImage-LINECOUNT-1-SP-0.900-MAXD-10.0.png,result-NoisyImage-LINECOUNT-1-SP-0.900-MAXD-10.0-tfac-0.10.png,0.14,0.1,1.41,40.45
NoisyImage-LINECOUNT-1-SP-0.900-MAXD-10.0.png,result-NoisyImage-LINECOUNT-1-SP-0.900-MAXD-10.0-tfac-0.50.png,0.71,0.5,1.41,40.56
NoisyImage-LINECOUNT-1-SP-0.900-MAXD-10.0.png,result-NoisyImage-LINECOUNT-1-SP-0.900-MAXD-10.0-tfac-1.00.png,1.41,1.0,1.41,40.84
NoisyImage-LINECOUNT-1-SP-0.920-MAXD-2.0.png,result-NoisyImage-LINECOUNT-1-SP-0.920-MAXD-2.0-tfac-0.10.png,0.14,0.1,1.41,29.4
NoisyImage-LINECOUNT-1-SP-0.920-MAXD-2.0.png,result-NoisyImage-LINECOUNT-1-SP-0.920-MAXD-2.0-tfac-0.50.png,0.71,0.5,1.41,29.15
NoisyImage-LINECOUNT-1-SP-0.920-MAXD-2.0.png,result-NoisyImage-LINECOUNT-1-SP-0.920-MAXD-2.0-tfac-1.00.png,1.41,1.0,1.41,29.36
