imagefile,salt_pepper,max_distance,line_count,total_pixels,black_pixels
NoisyImage-LINECOUNT-1-SP-0.900-MAXD-2.0.png,0.9,2.0,1,15000,1535
NoisyImage-LINECOUNT-1-SP-0.900-MAXD-3.0.png,0.9,3.0,1,15000,1484
NoisyImage-LINECOUNT-1-SP-0.900-MAXD-5.0.png,0.9,5.0,1,15000,1458
NoisyImage-LINECOUNT-1-SP-0.900-MAXD-7.0.png,0.9,7.0,1,15000,1457
NoisyImage-LINECOUNT-1-SP-0.900-MAXD-10.0.png,0.9,10.0,1,15000,1441
NoisyImage-LINECOUNT-1-SP-0.920-MAXD-2.0.png,0.92,2.0,1,15000,1262
NoisyImage-LINECOUNT-1-SP-0.920-MAXD-3.0.png,0.92,3.0,1,15000,1214
NoisyImage-LINECOUNT-1-SP-0.920-MAXD-5.0.png,0.92,5.0,1,15000,1188
NoisyImage-LINECOUNT-1-SP-0.920-MAXD-7.0.png,0.92,7.0,1,15000,1185
NoisyImage-LINECOUNT-1-SP-0.920-MAXD-10.0.png,0.92,10.0,1,15000,1187
NoisyImage-LINECOUNT-1-SP-0.950-MAXD-2.0.png,0.95,2.0,1,15000,845
NoisyImage-LINECOUNT-1-SP-0.950-MAXD-3.0.png,0.95,3.0,1,15000,785
NoisyImage-LINECOUNT-1-SP-0.950-MAXD-5.0.png,0.95,5.0,1,15000,759
NoisyImage-LINECOUNT-1-SP-0.950-MAXD-7.0.png,0.95,7.0,1,15000,757
NoisyImage-LINECOUNT-1-SP-0.950-MAXD-10.0.png,0.95,10.0,1,15000,743
NoisyImage-LINECOUNT-1-SP-0.970-MAXD-2.0.png,0.97,2.0,1,15000,481
NoisyImage-LINECOUNT-1-SP-0.970-MAXD-3.0.png,0.97,3.0,1,15000,481
NoisyImage-LINECOUNT-1-SP-0.970-MAXD-5.0.png,0.97,5.0,1,15000,447
NoisyImage-LINECOUNT-1-SP-0.970-MAXD-7.0.png,0.97,7.0,1,15000,448
NoisyImage-LINECOUNT-1-SP-0.970-MAXD-10.0.png,0.97,10.0,1,15000,434
NoisyImage-LINECOUNT-1-SP-0.990-MAXD-2.0.png,0.99,2.0,1,15000,257
NoisyImage-LINECOUNT-1-SP-0.990-MAXD-3.0.png,0.99,3.0,1,15000,195
NoisyImage-LINECOUNT-1-SP-0.990-MAXD-5.0.png,0.99,5.0,1,15000,162
NoisyImage-LINECOUNT-1-SP-0.990-MAXD-7.0.png,0.99,7.0,1,15000,146
NoisyImage-LINECOUNT-1-SP-0.990-MAXD-10.0.png,0.99,10.0,1,15000,163
