imagefile,salt_pepper,max_distance,line_count,total_pixels,black_pixels
NoisyImage-LINECOUNT-2-SP-0.900-MAXD-2.0.png,0.9,2.0,2,15000,1600
NoisyImage-LINECOUNT-2-SP-0.900-MAXD-3.0.png,0.9,3.0,2,15000,1550
NoisyImage-LINECOUNT-2-SP-0.900-MAXD-5.0.png,0.9,5.0,2,15000,1512
NoisyImage-LINECOUNT-2-SP-0.900-MAXD-7.0.png,0.9,7.0,2,15000,1491
NoisyImage-LINECOUNT-2-SP-0.900-MAXD-10.0.png,0.9,10.0,2,15000,1476
NoisyImage-LINECOUNT-2-SP-0.920-MAXD-2.0.png,0.92,2.0,2,15000,1366
NoisyImage-LINECOUNT-2-SP-0.920-MAXD-3.0.png,0.92,3.0,2,15000,1254
NoisyImage-LINECOUNT-2-SP-0.920-MAXD-5.0.png,0.92,5.0,2,15000,1219
NoisyImage-LINECOUNT-2-SP-0.920-MAXD-7.0.png,0.92,7.0,2,15000,1179
NoisyImage-LINECOUNT-2-SP-0.920-MAXD-10.0.png,0.92,10.0,2,15000,1178
NoisyImage-LINECOUNT-2-SP-0.950-MAXD-2.0.png,0.95,2.0,2,15000,934
NoisyImage-LINECOUNT-2-SP-0.950-MAXD-3.0.png,0.95,3.0,2,15000,810
NoisyImage-LINECOUNT-2-SP-0.950-MAXD-5.0.png,0.95,5.0,2,15000,751
NoisyImage-LINECOUNT-2-SP-0.950-MAXD-7.0.png,0.95,7.0,2,15000,751
NoisyImage-LINECOUNT-2-SP-0.950-MAXD-10.0.png,0.95,10.0,2,15000,721
NoisyImage-LINECOUNT-2-SP-0.970-MAXD-2.0.png,0.97,2.0,2,15000,676
NoisyImage-LINECOUNT-2-SP-0.970-MAXD-3.0.png,0.97,3.0,2,15000,571
NoisyImage-LINECOUNT-2-SP-0.970-MAXD-5.0.png,0.97,5.0,2,15000,537
NoisyImage-LINECOUNT-2-SP-0.970-MAXD-7.0.png,0.97,7.0,2,15000,507
NoisyImage-LINECOUNT-2-SP-0.970-MAXD-10.0.png,0.97,10.0,2,15000,493
NoisyImage-LINECOUNT-2-SP-0.990-MAXD-2.0.png,0.99,2.0,2,15000,338
NoisyImage-LINECOUNT-2-SP-0.990-MAXD-3.0.png,0.99,3.0,2,15000,273
NoisyImage-LINECOUNT-2-SP-0.990-MAXD-5.0.png,0.99,5.0,2,15000,212
NoisyImage-LINECOUNT-2-SP-0.990-MAXD-7.0.png,0.99,7.0,2,15000,211
NoisyImage-LINECOUNT-2-SP-0.990-MAXD-10.0.png,0.99,10.0,2,15000,195
